        	acceptance	adoration	affection	aggravation	agitation	agony   	alarm   	alienation	amusement	anger   	anguish 	annoyance	anticipation	anxiety 	apprehension	arousal 	attraction	aversion	bitterness	bliss   	compassion	contempt	courage 	defeat  	dejection	delight 	depression	desire  	despair 	disappointment	disgust 	dislike 	dismay  	displeasure	distress	dread   	eagerness	ecstasy 	elation 	embarrassment	enthusiasm	envy    	euphoria	exasperation	excitement	exhilaration	fear    	ferocity	fondness	fright  	frustration	fury    	gaiety  	gladness	glee    	gloom   	glumness	grief   	grouchiness	grumpiness	guilt   	happiness	hate    	homesickness	hope    	hopelessness	horror  	hostility	humiliation	hurt    	hysteria	infatuation	insecurity	insult  	interest	irritation	isolation	jealousy	jolliness	joviality	joy     	jubilation	liking  	loathing	loneliness	love    	lust    	melancholy	misery  	mortification	neglect 	optimism	outrage 	pain    	panic   	passion 	pity    	pleasure	pride   	rage    	rapture 	regret  	rejection	relief  	remorse 	resentment	revulsion	sadness 	satisfaction	scorn   	shame   	shock   	sorrow  	spite   	suffering	surprise	sympathy	tenderness	tenseness	terror  	thrill  	torment 	triumph 	uneasiness	unhappiness	vengefulness	woe     	wonder  	worry   	wrath   	zeal    	zest    	
anguish 	0.516550	0.375618	0.456996	0.529463	0.334979	0.505610	0.465128	0.451858	0.419965	0.382205	1.000000	0.467738	0.421153	0.384768	0.433406	0.486009	0.386591	0.393116	0.442986	0.414807	0.534181	0.526227	0.490522	0.485444	0.459455	0.443419	0.354672	0.432908	0.500268	0.576499	0.337528	0.521886	0.548318	0.421283	0.456503	0.400782	0.523126	0.402939	0.472436	0.341145	0.496394	0.439689	0.498058	0.414760	0.501690	0.468495	0.388658	0.403940	0.382091	0.408115	0.506633	0.467759	0.444049	0.379807	0.352761	0.625991	0.528672	0.404750	0.471302	0.466389	0.373736	0.421988	0.430839	0.390852	0.446255	0.464666	0.307096	0.349674	0.412884	0.473656	0.388541	0.345740	0.455769	0.520730	0.439842	0.518421	0.440952	0.376463	0.395734	0.395404	0.496783	0.479924	0.468413	0.518907	0.491522	0.445123	0.465215	0.498886	0.506480	0.519812	0.352823	0.408716	0.380344	0.469255	0.300333	0.467160	0.366211	0.402571	0.384940	0.426626	0.499670	0.435698	0.378188	0.453474	0.449189	0.390787	0.540463	0.567614	0.334415	0.501634	0.353227	0.540491	0.503021	0.417040	0.573991	0.411320	0.481546	0.572952	0.423572	0.387726	0.527724	0.580622	0.439250	0.378338	0.492930	0.542662	0.483363	0.485566	0.383400	0.432664	0.422626	0.493447	
annoyance	0.468670	0.426716	0.413664	0.612939	0.394911	0.306892	0.423204	0.416701	0.454441	0.503397	0.467738	1.000000	0.487469	0.384820	0.406265	0.419419	0.391164	0.385117	0.513028	0.310232	0.431585	0.526731	0.406869	0.392603	0.416199	0.406063	0.397844	0.419427	0.409870	0.508029	0.378473	0.459723	0.477250	0.493836	0.401697	0.359901	0.494904	0.330922	0.407868	0.419169	0.414985	0.418060	0.384787	0.562264	0.426288	0.455561	0.438746	0.457311	0.338002	0.378992	0.508086	0.495160	0.373969	0.392096	0.211784	0.434147	0.330571	0.364825	0.557896	0.509110	0.380875	0.391189	0.401342	0.349216	0.388171	0.446746	0.274548	0.435237	0.373178	0.448114	0.308201	0.290870	0.428976	0.451038	0.456207	0.595671	0.368512	0.353222	0.304213	0.393686	0.449555	0.382579	0.414424	0.463295	0.426338	0.383001	0.406949	0.315522	0.404148	0.393363	0.365989	0.458363	0.442383	0.370388	0.350492	0.404685	0.351530	0.423657	0.412890	0.490677	0.362284	0.392991	0.403246	0.469069	0.458441	0.453227	0.509999	0.494552	0.373035	0.414255	0.349189	0.442158	0.362602	0.483584	0.454865	0.475647	0.424554	0.429630	0.432968	0.364167	0.364314	0.441624	0.372038	0.390161	0.407284	0.523280	0.361232	0.417997	0.378241	0.460754	0.358600	0.431509	
anticipation	0.449772	0.392747	0.390689	0.424627	0.363250	0.276469	0.395925	0.350058	0.422549	0.383374	0.421153	0.487469	1.000000	0.358956	0.437320	0.399360	0.383952	0.414935	0.414022	0.287518	0.373115	0.438057	0.372563	0.346242	0.399016	0.398039	0.330963	0.418372	0.373035	0.438103	0.326537	0.395448	0.435592	0.423436	0.346717	0.384958	0.438690	0.273586	0.413389	0.340494	0.382315	0.387036	0.327683	0.400066	0.436153	0.422365	0.501135	0.394082	0.355015	0.466985	0.402902	0.369770	0.381552	0.398724	0.198407	0.381686	0.296372	0.340513	0.362792	0.363036	0.346431	0.390004	0.397347	0.325491	0.387516	0.400285	0.266781	0.373726	0.348192	0.385722	0.284647	0.322632	0.401448	0.389054	0.462074	0.400648	0.344969	0.339381	0.271714	0.389378	0.468262	0.377082	0.409922	0.420784	0.379667	0.392411	0.397737	0.289890	0.364190	0.360959	0.359589	0.368220	0.354396	0.334484	0.323719	0.404234	0.327189	0.435868	0.376781	0.391527	0.295559	0.339442	0.379744	0.387518	0.410833	0.366936	0.491508	0.471783	0.348642	0.307199	0.305675	0.399160	0.370744	0.422536	0.416914	0.455491	0.368221	0.395292	0.443709	0.348408	0.352847	0.375620	0.329797	0.394154	0.367070	0.381972	0.351114	0.396804	0.368081	0.312754	0.346122	0.392745	
anxiety 	0.412185	0.269305	0.330294	0.402531	0.274265	0.266851	0.396781	0.370801	0.293470	0.407531	0.384768	0.384820	0.358956	1.000000	0.458008	0.334104	0.371776	0.320921	0.344739	0.276671	0.394014	0.358565	0.373551	0.353886	0.339128	0.299680	0.490515	0.345567	0.353212	0.422177	0.274324	0.335490	0.372858	0.280639	0.360062	0.401910	0.356208	0.314270	0.349260	0.327334	0.333547	0.367240	0.348387	0.261790	0.377029	0.345425	0.423725	0.301230	0.229098	0.397398	0.416412	0.332124	0.273391	0.250439	0.232327	0.353755	0.284622	0.377612	0.389172	0.358393	0.340276	0.373383	0.331391	0.375384	0.357097	0.434281	0.258826	0.317988	0.352431	0.398697	0.313923	0.274019	0.400601	0.422948	0.337076	0.395406	0.333300	0.340328	0.264230	0.298083	0.338782	0.313107	0.320735	0.356911	0.390680	0.341111	0.349082	0.292166	0.343142	0.356358	0.312402	0.352945	0.315214	0.360090	0.555133	0.363311	0.329731	0.302009	0.324830	0.365413	0.286741	0.367115	0.376144	0.430029	0.293967	0.391058	0.321084	0.377738	0.296746	0.318896	0.318791	0.411816	0.319075	0.343066	0.417908	0.325291	0.382413	0.344919	0.398216	0.304072	0.307155	0.367898	0.314129	0.480989	0.344504	0.342057	0.288323	0.377498	0.424192	0.283529	0.276819	0.371587	
apprehension	0.440970	0.318203	0.389262	0.439072	0.312314	0.329764	0.546133	0.383430	0.392726	0.347745	0.433406	0.406265	0.437320	0.458008	1.000000	0.411976	0.343689	0.364109	0.363035	0.300742	0.412163	0.409461	0.401583	0.389200	0.354616	0.356322	0.325361	0.380078	0.368963	0.445225	0.277848	0.390151	0.484663	0.346313	0.383714	0.495646	0.407998	0.314219	0.404713	0.332912	0.373168	0.377168	0.387712	0.321183	0.431851	0.420742	0.487625	0.320241	0.304338	0.512876	0.421511	0.368826	0.341800	0.338897	0.228670	0.420266	0.331460	0.332782	0.401547	0.373150	0.325894	0.365495	0.365160	0.335076	0.388048	0.387896	0.309842	0.309608	0.356352	0.387004	0.348238	0.305061	0.402327	0.455248	0.390910	0.436721	0.341000	0.340474	0.293767	0.327010	0.442602	0.370268	0.382505	0.436183	0.417418	0.375700	0.379424	0.353375	0.359055	0.486480	0.331729	0.352240	0.317408	0.403719	0.362248	0.384749	0.327879	0.364970	0.355118	0.366071	0.382461	0.374055	0.356786	0.409018	0.347306	0.348019	0.421833	0.435813	0.316333	0.365381	0.293133	0.476514	0.366898	0.345714	0.431414	0.376241	0.427994	0.445413	0.485574	0.392725	0.402143	0.394972	0.346595	0.524861	0.375075	0.407415	0.332464	0.419983	0.401480	0.338856	0.326683	0.387223	
arousal 	0.515835	0.334456	0.465085	0.471775	0.325150	0.397429	0.458136	0.417103	0.389814	0.300980	0.486009	0.419419	0.399360	0.334104	0.411976	1.000000	0.338241	0.353947	0.351181	0.448809	0.487719	0.459701	0.445129	0.425171	0.337702	0.405058	0.295773	0.423335	0.348152	0.472862	0.273339	0.498444	0.435716	0.379746	0.515972	0.355480	0.458060	0.399017	0.434485	0.288243	0.470217	0.357363	0.522512	0.345720	0.511957	0.418605	0.396946	0.340856	0.376145	0.383028	0.458823	0.407145	0.404841	0.305820	0.280786	0.515675	0.395736	0.288031	0.412926	0.411931	0.273928	0.369338	0.412040	0.302449	0.374018	0.385429	0.251627	0.320337	0.343229	0.367745	0.399105	0.293531	0.387704	0.505368	0.457505	0.512834	0.373375	0.292875	0.378094	0.364648	0.446886	0.449030	0.475692	0.453184	0.454236	0.443134	0.412863	0.500540	0.361356	0.495219	0.334766	0.402379	0.312630	0.407506	0.282120	0.430264	0.339726	0.390722	0.350073	0.379692	0.526214	0.403988	0.346470	0.402350	0.355557	0.306762	0.448600	0.470817	0.339268	0.412298	0.281450	0.541878	0.422269	0.325435	0.449412	0.389108	0.485142	0.601178	0.377734	0.361534	0.576510	0.427923	0.413382	0.339083	0.368845	0.477593	0.360376	0.451071	0.318561	0.364605	0.392186	0.440719	
attraction	0.441298	0.383649	0.349405	0.434684	0.275089	0.240627	0.323010	0.322856	0.334406	0.525515	0.386591	0.391164	0.383952	0.371776	0.343689	0.338241	1.000000	0.346839	0.395242	0.259915	0.402746	0.338714	0.439910	0.368566	0.331443	0.312409	0.408692	0.401767	0.375499	0.476654	0.256104	0.325547	0.391677	0.304742	0.343405	0.305153	0.435554	0.294572	0.363490	0.329828	0.362456	0.395695	0.283292	0.321486	0.465342	0.422165	0.390901	0.415306	0.346322	0.239644	0.503246	0.367508	0.306916	0.339522	0.244501	0.332709	0.274639	0.493126	0.397296	0.389954	0.392293	0.463631	0.391089	0.421710	0.419448	0.442235	0.292470	0.363080	0.353214	0.494981	0.266148	0.460242	0.461246	0.441454	0.382703	0.383674	0.391511	0.475506	0.266504	0.366817	0.376888	0.320581	0.414267	0.327929	0.434654	0.421870	0.425293	0.237367	0.411885	0.260301	0.326062	0.388504	0.389092	0.360610	0.347909	0.475427	0.322652	0.374285	0.345613	0.390657	0.257295	0.420722	0.418193	0.461575	0.351360	0.457765	0.361642	0.416465	0.378293	0.288716	0.346542	0.372213	0.349321	0.395600	0.437054	0.374573	0.399691	0.339806	0.386762	0.283060	0.256103	0.428706	0.344757	0.358370	0.393423	0.338744	0.354469	0.389494	0.442023	0.265299	0.326334	0.454698	
aversion	0.389862	0.328672	0.411957	0.392667	0.308547	0.276318	0.363579	0.327240	0.359374	0.343066	0.393116	0.385117	0.414935	0.320921	0.364109	0.353947	0.346839	1.000000	0.359139	0.268879	0.387053	0.426329	0.374811	0.341666	0.417324	0.327576	0.293268	0.416279	0.356030	0.377210	0.378489	0.502825	0.403117	0.387205	0.328598	0.365636	0.375600	0.284165	0.382749	0.295077	0.356694	0.326551	0.344202	0.337972	0.376499	0.375436	0.419405	0.307253	0.356867	0.357992	0.378844	0.345438	0.319869	0.317082	0.216269	0.379968	0.306976	0.299996	0.374412	0.351699	0.306180	0.342422	0.473156	0.310999	0.368774	0.353695	0.262050	0.326205	0.319176	0.362702	0.281878	0.343932	0.358177	0.375527	0.360441	0.391532	0.354559	0.304445	0.284235	0.330825	0.437551	0.331521	0.399286	0.430225	0.372163	0.383591	0.389165	0.292824	0.341299	0.364478	0.297016	0.329792	0.310904	0.327198	0.268858	0.376710	0.310391	0.357669	0.338591	0.357151	0.307130	0.332043	0.332639	0.344152	0.320021	0.324252	0.457370	0.436970	0.281793	0.352248	0.293437	0.389161	0.353320	0.334118	0.400481	0.371074	0.348812	0.390647	0.345485	0.309696	0.330943	0.365522	0.306959	0.336305	0.338855	0.375998	0.308164	0.391753	0.331107	0.326557	0.331870	0.370207	
bitterness	0.426106	0.404207	0.389754	0.487134	0.350807	0.324178	0.371114	0.380584	0.390939	0.458497	0.442986	0.513028	0.414022	0.344739	0.363035	0.351181	0.395242	0.359139	1.000000	0.263330	0.422510	0.451549	0.395132	0.366313	0.379322	0.351555	0.371302	0.392722	0.411262	0.452694	0.334409	0.413602	0.448764	0.422211	0.347848	0.320039	0.417789	0.304507	0.377380	0.377740	0.375053	0.414415	0.322752	0.446194	0.398419	0.401350	0.380385	0.428194	0.323335	0.308233	0.451403	0.423316	0.325381	0.362566	0.236461	0.384182	0.319894	0.367250	0.454911	0.419477	0.442664	0.371006	0.392348	0.373220	0.362413	0.429952	0.268539	0.407992	0.358089	0.449351	0.302959	0.339299	0.429700	0.419215	0.397386	0.429707	0.390133	0.406745	0.287242	0.379021	0.414953	0.337140	0.398291	0.423388	0.415410	0.382952	0.393470	0.297231	0.399334	0.350124	0.341607	0.368642	0.377567	0.362175	0.300444	0.392687	0.350960	0.406777	0.453141	0.415597	0.297190	0.371697	0.374479	0.414270	0.388726	0.552738	0.455702	0.441422	0.318770	0.375820	0.357062	0.395715	0.360749	0.433581	0.441304	0.375077	0.399999	0.378837	0.379275	0.311025	0.302322	0.445214	0.320914	0.338239	0.380513	0.486301	0.362114	0.372081	0.360844	0.435194	0.339229	0.404860	
bliss   	0.422561	0.264237	0.390232	0.370378	0.246057	0.365031	0.422351	0.335277	0.274412	0.204900	0.414807	0.310232	0.287518	0.276671	0.300742	0.448809	0.259915	0.268879	0.263330	1.000000	0.422180	0.356696	0.401431	0.349281	0.223506	0.365064	0.231627	0.345248	0.274154	0.376333	0.216545	0.403945	0.320341	0.242180	0.428962	0.287160	0.375353	0.348401	0.441624	0.180871	0.415676	0.286817	0.470386	0.243261	0.431609	0.326372	0.263012	0.259619	0.299057	0.313401	0.370198	0.352351	0.335505	0.229078	0.292214	0.446108	0.345158	0.201650	0.321470	0.323186	0.217906	0.281838	0.365388	0.242710	0.324908	0.286843	0.188518	0.166509	0.274774	0.274685	0.335765	0.258999	0.307883	0.406172	0.328995	0.410769	0.312092	0.225301	0.347470	0.259316	0.377798	0.387600	0.374831	0.372933	0.361128	0.417033	0.396257	0.467012	0.298348	0.442009	0.192704	0.310724	0.283533	0.313385	0.182237	0.342986	0.295112	0.216940	0.282143	0.299059	0.495689	0.296372	0.240610	0.326840	0.248688	0.213959	0.337385	0.361662	0.230414	0.362401	0.178813	0.504013	0.357907	0.206222	0.360490	0.279579	0.358313	0.519102	0.246723	0.274486	0.542486	0.345363	0.440036	0.232452	0.277073	0.379740	0.304968	0.430033	0.236656	0.332274	0.350300	0.388604	
compassion	0.526797	0.369416	0.495815	0.482650	0.303669	0.410520	0.454842	0.429064	0.386917	0.396372	0.534181	0.431585	0.373115	0.394014	0.412163	0.487719	0.402746	0.387053	0.422510	0.422180	1.000000	0.484737	0.503540	0.448196	0.359381	0.411214	0.361817	0.446812	0.392605	0.503663	0.295993	0.496882	0.455753	0.352074	0.454568	0.377874	0.493362	0.406136	0.445577	0.330053	0.489189	0.435482	0.512787	0.347772	0.485280	0.433174	0.356670	0.357445	0.401714	0.373535	0.495509	0.434047	0.412529	0.351209	0.334347	0.518081	0.415839	0.394205	0.452976	0.440242	0.352722	0.426403	0.455773	0.371635	0.442632	0.416282	0.277170	0.319614	0.391993	0.442934	0.391878	0.386306	0.439129	0.543012	0.433803	0.516957	0.414486	0.389123	0.417909	0.371449	0.463180	0.443264	0.483569	0.471754	0.505389	0.481238	0.475092	0.488230	0.438891	0.493192	0.318482	0.420315	0.345706	0.446384	0.292217	0.452897	0.451042	0.351725	0.387575	0.425062	0.508439	0.421304	0.384784	0.454918	0.379725	0.406933	0.462584	0.486769	0.311119	0.442659	0.331332	0.529775	0.467990	0.345513	0.533234	0.402137	0.553361	0.585523	0.378985	0.366291	0.535022	0.481416	0.416169	0.354604	0.418512	0.504547	0.382377	0.485066	0.373052	0.426392	0.427927	0.495839	
contempt	0.495485	0.365388	0.445816	0.518456	0.322813	0.386119	0.439712	0.419834	0.454845	0.398343	0.526227	0.526731	0.438057	0.358565	0.409461	0.459701	0.338714	0.426329	0.451549	0.356696	0.484737	1.000000	0.435988	0.420364	0.413679	0.389569	0.344238	0.414751	0.402682	0.489364	0.494686	0.496831	0.483301	0.410884	0.410335	0.380129	0.460478	0.369141	0.461933	0.397979	0.450503	0.428106	0.449385	0.440877	0.437998	0.443909	0.443625	0.407147	0.352847	0.394875	0.465798	0.443055	0.387340	0.375563	0.265824	0.513460	0.434008	0.336115	0.469619	0.433100	0.361742	0.415607	0.436741	0.341043	0.388785	0.454725	0.276579	0.390026	0.393658	0.423159	0.354517	0.314255	0.413005	0.474511	0.466893	0.503995	0.390061	0.352221	0.353893	0.378323	0.493096	0.419355	0.435411	0.528913	0.460174	0.424024	0.432836	0.413504	0.412436	0.486201	0.365005	0.389588	0.378350	0.382820	0.292970	0.423931	0.370753	0.380247	0.427472	0.435291	0.430929	0.405359	0.396065	0.397525	0.415971	0.389207	0.537257	0.527607	0.332173	0.506866	0.389958	0.493346	0.422469	0.426605	0.495275	0.489517	0.467315	0.523430	0.402933	0.378120	0.463190	0.488870	0.382188	0.362879	0.402577	0.542784	0.378609	0.467292	0.333298	0.446681	0.373756	0.437544	
courage 	0.518801	0.333576	0.426198	0.463987	0.284072	0.383637	0.462627	0.401407	0.359588	0.424024	0.490522	0.406869	0.372563	0.373551	0.401583	0.445129	0.439910	0.374811	0.395132	0.401431	0.503540	0.435988	1.000000	0.437738	0.336863	0.382033	0.348557	0.421860	0.395490	0.484483	0.287291	0.467653	0.449529	0.310516	0.425245	0.382923	0.478051	0.396088	0.459713	0.307347	0.457772	0.399454	0.465752	0.350352	0.480877	0.436429	0.450825	0.375009	0.328285	0.376282	0.509034	0.428772	0.373304	0.335156	0.328848	0.479655	0.390329	0.389679	0.434363	0.425829	0.372349	0.412383	0.431843	0.396012	0.485348	0.400472	0.304739	0.286550	0.378341	0.457702	0.378005	0.367603	0.444142	0.502174	0.398898	0.499203	0.415203	0.385330	0.373602	0.364369	0.466954	0.419030	0.421562	0.429806	0.487424	0.453507	0.427240	0.445077	0.421216	0.455411	0.282069	0.403480	0.357987	0.395705	0.308623	0.460453	0.374852	0.349225	0.376733	0.411541	0.468453	0.439066	0.387564	0.446932	0.384571	0.405798	0.422648	0.480439	0.306972	0.404299	0.337401	0.516932	0.450001	0.424649	0.471701	0.389703	0.461901	0.496115	0.362910	0.335601	0.483813	0.466918	0.425029	0.343070	0.384457	0.444710	0.382540	0.475788	0.398172	0.395024	0.400456	0.479160	
defeat  	0.453379	0.328996	0.396426	0.456809	0.280113	0.408509	0.442730	0.415123	0.339373	0.357511	0.485444	0.392603	0.346242	0.353886	0.389200	0.425171	0.368566	0.341666	0.366313	0.349281	0.448196	0.420364	0.437738	1.000000	0.378824	0.366274	0.339313	0.393707	0.396315	0.494534	0.270899	0.411042	0.467518	0.322107	0.400857	0.351704	0.449345	0.369284	0.407667	0.311272	0.440782	0.368514	0.429960	0.332210	0.469373	0.425354	0.358483	0.371213	0.315833	0.354219	0.463104	0.405528	0.353515	0.309300	0.318773	0.471068	0.379343	0.351690	0.407419	0.421672	0.327556	0.373504	0.393053	0.383225	0.408164	0.390938	0.292696	0.312296	0.356541	0.401248	0.388511	0.324373	0.420727	0.466110	0.383021	0.430721	0.396856	0.362531	0.339005	0.341194	0.413068	0.459807	0.403449	0.424221	0.449447	0.424012	0.426058	0.424956	0.401269	0.466916	0.333546	0.395016	0.334656	0.407258	0.309218	0.424981	0.318883	0.325107	0.359227	0.380430	0.417381	0.397714	0.360604	0.420286	0.365702	0.353226	0.401519	0.435546	0.308092	0.397175	0.301802	0.497193	0.404745	0.357501	0.457723	0.370263	0.439919	0.477024	0.387524	0.364501	0.454259	0.444248	0.418030	0.328631	0.373423	0.432574	0.373072	0.440925	0.349096	0.349952	0.366459	0.443043	
dejection	0.374832	0.322836	0.334851	0.403647	0.317330	0.272813	0.358733	0.387143	0.384734	0.358111	0.459455	0.416199	0.399016	0.339128	0.354616	0.337702	0.331443	0.417324	0.379322	0.223506	0.359381	0.413679	0.336863	0.378824	1.000000	0.344793	0.394208	0.341262	0.430185	0.444375	0.334943	0.408284	0.473968	0.416120	0.333723	0.327639	0.389574	0.281920	0.374214	0.343125	0.329516	0.357696	0.306413	0.369917	0.383655	0.422820	0.382022	0.352255	0.296947	0.349768	0.376262	0.355899	0.386817	0.378211	0.200729	0.464423	0.390852	0.357755	0.362018	0.370880	0.318365	0.369540	0.368749	0.361781	0.328775	0.431665	0.288175	0.368896	0.362851	0.361203	0.294082	0.268929	0.396671	0.386117	0.379016	0.370214	0.378464	0.300761	0.279709	0.382440	0.428746	0.357296	0.361089	0.379117	0.398516	0.313488	0.346655	0.290624	0.397542	0.385622	0.416121	0.341409	0.301741	0.331306	0.313931	0.373655	0.307693	0.413112	0.367987	0.356710	0.272923	0.334977	0.398513	0.374479	0.421889	0.388194	0.413910	0.469028	0.327522	0.322211	0.326585	0.384594	0.355411	0.384600	0.413623	0.416257	0.392612	0.358120	0.400557	0.333880	0.276588	0.383655	0.303121	0.355789	0.408440	0.384043	0.383380	0.355762	0.329905	0.328369	0.302547	0.370629	
delight 	0.401694	0.344974	0.370922	0.421775	0.340405	0.332483	0.381229	0.358218	0.421946	0.274599	0.443419	0.406063	0.398039	0.299680	0.356322	0.405058	0.312409	0.327576	0.351555	0.365064	0.411214	0.389569	0.382033	0.366274	0.344793	1.000000	0.280689	0.387148	0.341536	0.399365	0.244412	0.414941	0.406355	0.368786	0.375946	0.310478	0.468517	0.364301	0.464261	0.283304	0.436782	0.343998	0.417178	0.353670	0.455772	0.485632	0.322980	0.316065	0.356710	0.328500	0.377136	0.370636	0.571171	0.523516	0.297331	0.438824	0.334430	0.281177	0.363412	0.350794	0.272701	0.384687	0.380371	0.287191	0.354657	0.328258	0.232301	0.279207	0.319045	0.321939	0.301956	0.310553	0.342559	0.406585	0.415454	0.415532	0.341969	0.262660	0.458288	0.426000	0.535043	0.461075	0.403084	0.399339	0.381311	0.354925	0.404839	0.369188	0.347417	0.403685	0.280909	0.329516	0.317760	0.329026	0.247932	0.380594	0.289049	0.433705	0.332684	0.334363	0.455056	0.323702	0.305186	0.361443	0.331579	0.297440	0.413402	0.410458	0.322403	0.361761	0.269293	0.416671	0.409727	0.313685	0.385348	0.367001	0.359817	0.464149	0.349614	0.311674	0.451559	0.401521	0.364822	0.295186	0.346224	0.368117	0.351382	0.407785	0.303540	0.329879	0.401592	0.462609	
depression	0.385181	0.282109	0.300301	0.377651	0.245127	0.221475	0.314435	0.371121	0.294650	0.486373	0.354672	0.397844	0.330963	0.490515	0.325361	0.295773	0.408692	0.293268	0.371302	0.231627	0.361817	0.344238	0.348557	0.339313	0.394208	0.280689	1.000000	0.357137	0.396052	0.438241	0.280412	0.286456	0.353580	0.320613	0.359218	0.299105	0.348608	0.295481	0.336618	0.358403	0.310536	0.377329	0.289298	0.288465	0.359358	0.366188	0.346143	0.327788	0.233780	0.255787	0.428852	0.344743	0.251473	0.283234	0.174108	0.337028	0.308749	0.450459	0.391124	0.372546	0.364327	0.392273	0.321979	0.407106	0.373445	0.545885	0.268788	0.366557	0.339321	0.425809	0.260877	0.273430	0.406412	0.393010	0.349078	0.370299	0.339913	0.366952	0.235450	0.370695	0.311887	0.286143	0.305613	0.311481	0.397774	0.316330	0.332312	0.244201	0.387570	0.256768	0.326388	0.374786	0.332156	0.346455	0.424405	0.372608	0.304259	0.348664	0.328642	0.388627	0.210305	0.382168	0.397680	0.436348	0.332319	0.447778	0.316193	0.407062	0.346438	0.255765	0.364157	0.372125	0.285575	0.389684	0.418870	0.333984	0.359244	0.275584	0.358909	0.260453	0.220354	0.385235	0.301226	0.344511	0.361860	0.338247	0.321726	0.332439	0.388613	0.277772	0.250698	0.362375	
desire  	0.447579	0.385675	0.450204	0.427423	0.297518	0.335160	0.397439	0.386754	0.358471	0.359978	0.432908	0.419427	0.418372	0.345567	0.380078	0.423335	0.401767	0.416279	0.392722	0.345248	0.446812	0.414751	0.421860	0.393707	0.341262	0.387148	0.357137	1.000000	0.381402	0.448919	0.283821	0.445033	0.421061	0.359156	0.389066	0.364373	0.470777	0.341930	0.397551	0.321190	0.431505	0.412619	0.402734	0.346658	0.440154	0.442566	0.373810	0.366230	0.424778	0.342109	0.442138	0.385227	0.376285	0.362186	0.262039	0.414127	0.343772	0.359633	0.419093	0.406082	0.343944	0.387486	0.444253	0.355210	0.397118	0.387597	0.270894	0.328687	0.356387	0.432732	0.331513	0.392169	0.416992	0.473779	0.425479	0.433891	0.356752	0.370599	0.348141	0.375448	0.434900	0.397952	0.454241	0.419804	0.450128	0.438014	0.468407	0.377832	0.401616	0.390690	0.332064	0.369234	0.319885	0.371496	0.297019	0.476379	0.353342	0.372372	0.372125	0.374700	0.381612	0.407297	0.386812	0.404441	0.384511	0.386193	0.438520	0.443969	0.340358	0.369620	0.329542	0.440790	0.385173	0.370101	0.477173	0.356072	0.429522	0.473614	0.378370	0.331130	0.415951	0.455269	0.374323	0.335805	0.376182	0.406643	0.377273	0.424700	0.357929	0.327606	0.397628	0.433251	
despair 	0.395841	0.332650	0.375618	0.411304	0.286346	0.333807	0.362453	0.352998	0.342069	0.388671	0.500268	0.409870	0.373035	0.353212	0.368963	0.348152	0.375499	0.356030	0.411262	0.274154	0.392605	0.402682	0.395490	0.396315	0.430185	0.341536	0.396052	0.381402	1.000000	0.491980	0.319953	0.381460	0.458403	0.355669	0.343969	0.331739	0.407546	0.311230	0.391653	0.319746	0.365269	0.384045	0.353752	0.332788	0.405862	0.428846	0.385348	0.386472	0.307562	0.326389	0.406935	0.375878	0.338531	0.342524	0.231044	0.423530	0.377852	0.417232	0.383303	0.384626	0.345398	0.375498	0.365149	0.345603	0.443643	0.445508	0.288424	0.339269	0.371740	0.407642	0.317435	0.302718	0.416116	0.415489	0.380747	0.379441	0.382949	0.352128	0.280494	0.343075	0.393762	0.370459	0.374900	0.417356	0.433244	0.363908	0.376303	0.324104	0.410679	0.360882	0.343043	0.369438	0.330169	0.357347	0.328478	0.393402	0.314726	0.360242	0.330012	0.380868	0.308360	0.381381	0.367390	0.394005	0.379609	0.427272	0.427845	0.429579	0.314797	0.349401	0.339093	0.408744	0.372885	0.375453	0.435128	0.356880	0.390482	0.387935	0.375579	0.322710	0.329230	0.459978	0.354335	0.344385	0.386519	0.398461	0.379126	0.380647	0.375812	0.321017	0.322036	0.409871	
disappointment	0.558202	0.364710	0.462271	0.528480	0.294959	0.421420	0.446369	0.433745	0.400233	0.514516	0.576499	0.508029	0.438103	0.422177	0.445225	0.472862	0.476654	0.377210	0.452694	0.376333	0.503663	0.489364	0.484483	0.494534	0.444375	0.399365	0.438241	0.448919	0.491980	1.000000	0.329497	0.462613	0.548601	0.413521	0.448390	0.377614	0.514272	0.396564	0.446034	0.405519	0.469774	0.449650	0.464920	0.395787	0.538167	0.487342	0.411827	0.425716	0.349220	0.377609	0.587167	0.456677	0.377704	0.371154	0.287176	0.548451	0.485946	0.480790	0.499539	0.494272	0.406799	0.456099	0.434374	0.445414	0.472925	0.522621	0.301807	0.365748	0.426792	0.539303	0.370688	0.363236	0.510318	0.567084	0.447656	0.548792	0.446285	0.427189	0.360806	0.386981	0.482905	0.438881	0.457103	0.478763	0.531484	0.464797	0.454152	0.452310	0.505723	0.473838	0.397023	0.442396	0.381496	0.450135	0.333417	0.471450	0.361773	0.398280	0.397380	0.452338	0.461112	0.495706	0.436444	0.511941	0.456767	0.463138	0.471561	0.548274	0.396157	0.428085	0.362832	0.545695	0.438026	0.399474	0.547995	0.459817	0.518775	0.535935	0.440558	0.370266	0.479197	0.538567	0.426859	0.397498	0.493624	0.496934	0.463964	0.483958	0.432069	0.400860	0.389048	0.529161	
